+-----+------+-------+-----+----------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id  | year | month | day |        street        |                                                                                                       description                                                                                                        |
+-----+------+-------+-----+----------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 1   | 2023 | 1     | 1   | Chamberlin Street    | Credit card fraud took place at 00:53. Two people witnessed the event.                                                                                                                                                   |
| 2   | 2023 | 1     | 1   | Zlatkova Street      | Burglary took place at 05:23. Two people witnessed the event.                                                                                                                                                            |
| 3   | 2023 | 1     | 1   | Bowden Boulevard     | Shoplifting took place at 20:48. Two people witnessed the event.                                                                                                                                                         |
| 4   | 2023 | 1     | 1   | Boyce Avenue         | Jaywalking took place at 23:37. Two people witnessed the event.                                                                                                                                                          |
| 5   | 2023 | 1     | 2   | Widenius Street      | Jaywalking took place at 20:33. One person witnessed the incident.                                                                                                                                                       |
| 6   | 2023 | 1     | 3   | Chartier Road        | Insider trading took place at 19:32. Two people witnessed the event.                                                                                                                                                     |
| 7   | 2023 | 1     | 3   | Blumberg Boulevard   | Theft took place at 20:49. No known witnesses.                                                                                                                                                                           |
| 8   | 2023 | 1     | 4   | Fifer Street         | Bank robbery took place at 10:32. No known witnesses.                                                                                                                                                                    |
| 9   | 2023 | 1     | 4   | Blumberg Boulevard   | Money laundering took place at 05:26. No known witnesses.                                                                                                                                                                |
| 10  | 2023 | 1     | 5   | Widenius Street      | Insider trading took place at 05:13. Two people witnessed the event.                                                                                                                                                     |
| 11  | 2023 | 1     | 5   | Carreiro Avenue      | Credit card fraud took place at 21:35. Two people witnessed the event.                                                                                                                                                   |
| 12  | 2023 | 1     | 5   | MacWilliam Road      | Littering took place at 04:18. No known witnesses.                                                                                                                                                                       |
| 13  | 2023 | 1     | 6   | Aydede Lane          | Reckless driving took place at 07:18. No known witnesses.                                                                                                                                                                |
| 14  | 2023 | 1     | 6   | Fifer Street         | Insider trading took place at 11:35. No known witnesses.                                                                                                                                                                 |
| 15  | 2023 | 1     | 7   | Humphrey Lane        | Shoplifting took place at 11:42. One person witnessed the incident.                                                                                                                                                      |
| 16  | 2023 | 1     | 7   | Zlatkova Street      | Credit card fraud took place at 14:47. Two people witnessed the event.                                                                                                                                                   |
| 17  | 2023 | 1     | 7   | Hipp Boulevard       | Credit card fraud took place at 03:14. Two people witnessed the event.                                                                                                                                                   |
| 18  | 2023 | 1     | 8   | Aydede Lane          | Jaywalking took place at 10:04. Two people witnessed the event.                                                                                                                                                          |
| 19  | 2023 | 1     | 8   | Carvalho Road        | Bank robbery took place at 15:30. Two people witnessed the event.                                                                                                                                                        |
| 20  | 2023 | 1     | 8   | Larsson Lane         | Credit card fraud took place at 13:40. No known witnesses.                                                                                                                                                               |
| 21  | 2023 | 1     | 9   | Boyce Avenue         | Expired parking meter took place at 01:53. No known witnesses.                                                                                                                                                           |
| 22  | 2023 | 1     | 10  | Yamashita Avenue     | Theft took place at 16:16. One person witnessed the incident.                                                                                                                                                            |
| 23  | 2023 | 1     | 10  | Carvalho Road        | Theft took place at 01:15. Two people witnessed the event.                                                                                                                                                               |
| 24  | 2023 | 1     | 11  | Stonebraker Road     | Shoplifting took place at 13:23. No known witnesses.                                                                                                                                                                     |
| 25  | 2023 | 1     | 11  | Lloyd Lane           | Wire fraud took place at 10:38. One person witnessed the incident.                                                                                                                                                       |
| 26  | 2023 | 1     | 11  | Carvalho Road        | Forgery took place at 23:28. Two people witnessed the event.                                                                                                                                                             |
| 27  | 2023 | 1     | 12  | Boyce Avenue         | Theft took place at 16:51. Two people witnessed the event.                                                                                                                                                               |
| 28  | 2023 | 1     | 12  | Chartier Road        | Burglary took place at 12:57. One person witnessed the incident.                                                                                                                                                         |
| 29  | 2023 | 1     | 13  | Carvalho Road        | Credit card fraud took place at 11:12. No known witnesses.                                                                                                                                                               |
| 30  | 2023 | 1     | 13  | Aydede Lane          | Expired parking meter took place at 22:55. One person witnessed the incident.                                                                                                                                            |
| 31  | 2023 | 1     | 16  | Axmark Road          | Vandalism took place at 16:41. No known witnesses.                                                                                                                                                                       |
| 32  | 2023 | 1     | 17  | Stonebraker Road     | Insider trading took place at 23:24. Two people witnessed the event.                                                                                                                                                     |
| 33  | 2023 | 1     | 17  | Chamberlin Street    | Littering took place at 05:46. One person witnessed the incident.                                                                                                                                                        |
| 34  | 2023 | 1     | 17  | Codd Street          | Reckless driving took place at 00:52. One person witnessed the incident.                                                                                                                                                 |
| 35  | 2023 | 1     | 17  | Codd Street          | Money laundering took place at 22:49. Two people witnessed the event.                                                                                                                                                    |
| 36  | 2023 | 1     | 17  | Larsson Lane         | Jaywalking took place at 21:38. One person witnessed the incident.                                                                                                                                                       |
| 37  | 2023 | 1     | 17  | Bowden Boulevard     | Vandalism took place at 04:51. One person witnessed the incident.                                                                                                                                                        |
| 38  | 2023 | 1     | 20  | Lloyd Lane           | Wire fraud took place at 10:31. One person witnessed the incident.                                                                                                                                                       |
| 39  | 2023 | 1     | 20  | Axmark Road          | Burglary took place at 02:22. Two people witnessed the event.                                                                                                                                                            |
| 40  | 2023 | 1     | 21  | Humphrey Lane        | Shoplifting took place at 22:02. Two people witnessed the event.                                                                                                                                                         |
| 41  | 2023 | 1     | 22  | Fifer Street         | Wire fraud took place at 15:42. One person witnessed the incident.                                                                                                                                                       |
| 42  | 2023 | 1     | 23  | Humphrey Lane        | Expired parking meter took place at 09:47. One person witnessed the incident.                                                                                                                                            |
| 43  | 2023 | 1     | 24  | Guimaraes Drive      | Burglary took place at 10:53. Two people witnessed the event.                                                                                                                                                            |
| 44  | 2023 | 1     | 25  | Aydede Lane          | Jaywalking took place at 08:53. Two people witnessed the event.                                                                                                                                                          |
